NC_018359	Madurella mycetomatis
NC_020043	Magnusiomyces magnusii
NC_015080	Penicillium digitatum
NC_030252	Nectria cinnabarina
NC_006077	Kluyveromyces lactis
NC_010652	Beauveria bassiana
NC_012824	Trichophyton rubrum
NC_016957	Peltigera membranacea
NC_001329	Podospora anserina
NC_014805	Ogataea angusta
NC_011133	Candida neerlandica
NC_023248	Jaminaea angkorensis
NC_022681	Fusarium circinatum
NC_013809	Candida viswanathii
NC_015384	Komagataella phaffii CBS 7435
NC_011360	Blastocladiella emersonii
NC_004332	Schizosaccharomyces japonicus
NC_031514	Saccharomyces cariocanus
NC_030206	Hypomyces aurantius
NC_030523	Chrysoporthe deuterocubensis
NC_026920	Aspergillus flavus
NC_016130	Candida deformans
NC_016124	Candida alimentaria
NC_018056	Lachancea kluyveri
NC_027416	Penicillium roqueforti
NC_023127	Rhynchosporium orthosporum
NC_023126	Rhynchosporium commune
NC_009880	Tilletia indica
NC_029851	Acremonium fuci
NC_017930	Fusarium oxysporum
NC_026782	Ganoderma meredithae
NC_004624	Monoblepharella sp. JEL15
NC_003049	Schizophyllum commune
NC_031511	Saccharomyces arboricola
NC_022835	Pochonia chlamydosporia
NC_006971	Candida metapsilosis
NC_003048	Hyaloraphidium curvatum
NC_012620	[Candida] castellii
NC_017016	Aspergillus fumigatus
NC_013255	Millerozyma farinosa
NC_004760	Harpochytrium sp. JEL94
NC_009638	Vanderwaltozyma polyspora
NC_001715	Allomyces macrogynus
NC_022434	Candida bohioensis
NC_004623	Harpochytrium sp. JEL105
NC_032064	Epichloe festucae
NC_025928	Fusarium gerlachii
NC_022708	Beauveria pseudobassiana
NC_031515	Saccharomyces pastorianus
NC_027730	Phycomyces blakesleeanus
NC_027280	Colletotrichum acutatum
NC_026869	Shiraia bambusicola
NC_026614	Neurospora crassa OR74A
NC_004918	Kazachstania servazzii
NC_033533	Pleurotus eryngii
NC_013839	Candida sojae
NC_004312	Schizosaccharomyces octosporus
NC_012619	Nakaseomyces delphensis
NC_012832	Microsporum canis
NC_022173	Candida blackwelliae
NC_031384	Tolypocladium ophioglossoides
NC_022144	Glomus cerebriforme
NC_027433	Torulaspora delbrueckii
NC_027509	Diaporthe longicolla
NC_020148	Phlebia radiata
NC_014489	Rhizophagus irregularis
NC_006836	Rhizopus oryzae
NC_005927	Moniliophthora perniciosa
NC_027422	Pseudogymnoascus pannorum
NC_030600	Cladophialophora bantiana
NC_009905	Pleurotus ostreatus
NC_030635	Beauveria malawiensis
NC_006972	Candida orthopsilosis
NC_031185	Saccharomyces mikatae
NC_006626	Lachancea thermotolerans
NC_022435	Candida prachuapensis
NC_001326	Schizosaccharomyces pombe
NC_010222	Zymoseptoria tritici
NC_014693	Candida jiufengensis
NC_031804	Peltigera dolichorrhiza
NC_030172	Penicillium polonicum
NC_014337	Candida subhashii
NC_030218	Trichoderma gamsii
NC_016680	Fusarium solani
NC_014613	Groenewaldozyma salmanticensis
NC_014352	Phakopsora meibomiae
NC_030164	Hirsutella rhossiliensis
NC_031184	Saccharomyces kudriavzevii
NC_014612	Candida alai
NC_030334	Zasmidium cellare
NC_027458	Torulaspora franciscae
NC_018792	Cryptococcus neoformans var. grubii H99
NC_023540	Colletotrichum lindemuthianum
NC_030524	Chrysoporthe cubensis
NC_004691	Candida glabrata CBS 138
NC_016187	Penicillium solitum
NC_013145	Brettanomyces custersianus
NC_024555	Heterobasidion irregulare
NC_028330	Lecanicillium saksenae
NC_029706	Colletotrichum tamarilloi
NC_032302	Parengyodontium album
NC_015923	Sporothrix schenckii
NC_024200	Lichtheimia hongkongensis
NC_033903	Hericium coralloides
NC_016684	Gigaspora margarita
NC_027660	Hirsutella minnesotensis
NC_030051	Lecanora strobilina
NC_031513	Saccharomyces bayanus
NC_027457	Torulaspora pretoriensis
NC_013933	Trametes cingulata
NC_029759	Cairneyella variabilis
NC_010651	Tilletia walkeri
NC_026993	Fusarium culmorum
NC_024095	Magnusiomyces capitatus
NC_029238	Verticillium nonalfalfae
NC_015400	Moniliophthora roreri
NC_014344	Phakopsora pachyrhizi
NC_025768	Geotrichum candidum
NC_006838	Mortierella verticillata
NC_016126	Candida phangngaensis
NC_030522	Chrysoporthe austroafricana
NC_023117	Annulohypoxylon stygium
NC_013660	Pneumocystis carinii
NC_021436	Rhizoctonia solani
NC_027264	Saccharomyces cerevisiae
NC_003920	Naumovozyma castellii
NC_005253	Candida parapsilosis
NC_023128	Rhynchosporium secalis
NC_022834	Cordyceps militaris
NC_008068	Metarhizium anisopliae
NC_031512	Saccharomyces uvarum
NC_003053	Rhizophydium sp. 136
NC_022176	Candida chauliodis
NC_001762	Wickerhamomyces canadensis
NC_025331	Kluyveromyces marxianus
NC_030340	Ilyonectria destructans
NC_006837	Zancudomyces culisetae
NC_001224	Saccharomyces cerevisiae S288c
NC_023268	Acremonium chrysogenum
NC_012830	Nannizzia nana
NC_012621	Nakaseomyces bacillisporus
NC_015814	Candida frijolesensis
NC_025570	Aspergillus ustus
NC_033907	Pseudogymnoascus destructans
NC_016687	Fusarium verticillioides
NC_004514	Lecanicillium muscarium
NC_025200	Sclerotinia borealis
NC_008248	Verticillium dahliae
NC_004336	Cryptococcus neoformans var. grubii
NC_026534	Sarocladium implicatum
NC_005972	Starmerella bacillaris
NC_029185	Rhizophagus fasciculatus
NC_009493	Fusarium graminearum
NC_016955	Peltigera malacea
NC_012056	Rhizophagus intraradices
NC_018365	Lentinula edodes
NC_029194	Fusarium mangiferae
NC_002653	Candida albicans SC5314
NC_024944	Parasitella parasitica
NC_016116	Candida galli
NC_008368	Ustilago maydis
NC_013147	Brettanomyces bruxellensis
NC_027188	Ganoderma applanatum
NC_017896	Aspergillus nidulans FGSC A4
NC_031828	Pestalotiopsis fici
NC_029458	Eremothecium sinecaudum
NC_028135	Tricholoma matsutake
NC_003388	Trichoderma reesei
NC_011194	Cordyceps brongniartii
NC_030052	Colletotrichum fioriniae
NC_003052	Spizellomyces punctatus
NC_027459	Torulaspora globosa
NC_012826	Trichophyton mentagrophytes
NC_029745	Pyronema omphalodes
NC_024093	Magnusiomyces ingens
NC_013830	Candida maltosa
NC_032063	Epichloe typhina
NC_012145	Saccharomyces pastorianus Weihenstephan 34/70
NC_022933	Ganoderma sinense
NC_010166	Debaryomyces hansenii
NC_029213	Colletotrichum lupini
NC_030636	Beauveria caledonica
NC_016756	Eremothecium gossypii FDAG1
NC_012828	Arthroderma uncinatum
NC_031375	Glarea lozoyensis
NC_024094	Magnusiomyces tetrasperma
NC_023125	Rhynchosporium agropyri
NC_002659	Yarrowia lipolytica
NC_015333	Moniliophthora roreri
NC_010425	Fusarium proliferatum
NC_002135	Pleurotus ostreatus
NC_000843	Neurospora intermedia
NC_015334	Moniliophthora roreri
NC_004935	Blumeria graminis f. sp. hordei
NC_015335	Moniliophthora roreri
NC_029396	Didymella pinodes
NC_015893	Chaetomium thermophilum var. thermophilum DSM 1495
NC_009746	Parastagonospora nodorum SN15
NC_031346	Sugiyamaella lignohabitans
NC_012412	Neurospora intermedia
NC_012415	Neurospora intermedia
NC_005789	Eremothecium gossypii ATCC 10895
NC_003061	Spizellomyces punctatus
